nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Toyota 4Runner,4WD,midsize SUVs,MY2004,13.0,0.0,28.0,,-1.3490574504467905
Land Rover Discovery,4WD,midsize SUVs,MY2004,111.0,44.0,177.0,,0.6801759424578235
Lexus RX 330,4WD,midsize SUVs,MY2004,28.0,7.0,49.0,,-1.0384605025532272
Isuzu Rodeo,2WD,midsize SUVs,MY2004,131.0,66.0,195.0,,1.0943052063159082
Nissan Pathfinder,4WD,midsize SUVs,MY2004,36.0,15.0,57.0,,-0.8728087970099934
Ford Explorer,4WD,midsize SUVs,MY2004,47.0,33.0,62.0,,-0.6450377018880469
Toyota Highlander,2WD,midsize SUVs,MY2004,30.0,10.0,50.0,,-0.9970475761674188
Chevrolet Trailblazer,2WD,midsize SUVs,MY2004,102.0,49.0,155.0,,0.49381777372168556
Chevrolet Blazer,2WD,midsize SUVs,MY2004,123.0,52.0,194.0,,0.9286535007726743
GMC Envoy,4WD,midsize SUVs,MY2004,88.0,25.0,150.0,,0.2039272890210264
Mercedes-Benz M-Class,4WD,midsize SUVs,MY2004,14.0,0.0,30.0,,-1.3283509872538863
Ford Explorer,2WD,midsize SUVs,MY2004,57.0,35.0,79.0,,-0.43797306995900465
Mitsubishi Montero Sport,4WD,midsize SUVs,MY2004,127.0,61.0,194.0,,1.0114793535442912
Mitsubishi Montero Sport,2WD,midsize SUVs,MY2004,146.0,84.0,208.0,,1.4049021542094715
Toyota Highlander,4WD,midsize SUVs,MY2004,14.0,4.0,25.0,,-1.3283509872538863
Suzuki Grand Vitara XL-7,4WD,midsize SUVs,MY2004,78.0,25.0,131.0,,-0.0031373429080158812
Jeep Grand Cherokee,4WD,midsize SUVs,MY2004,57.0,42.0,72.0,,-0.43797306995900465
Buick Rendezvous,2WD,midsize SUVs,MY2004,76.0,12.0,140.0,,-0.044550269293824336
Jeep Liberty,2WD,midsize SUVs,MY2004,115.0,57.0,173.0,,0.7630017952294404
Nissan Xterra,2WD,midsize SUVs,MY2004,82.0,45.0,118.0,,0.07968850986360103
Nissan Xterra,4WD,midsize SUVs,MY2004,59.0,30.0,89.0,,-0.3965601435731962
Ford Explorer Sport Trac,4WD,midsize SUVs,MY2004,119.0,71.0,167.0,,0.8458276480010574
Jeep Liberty,4WD,midsize SUVs,MY2004,46.0,27.0,65.0,,-0.6657441650809511
Ford Explorer Sport Trac,2WD,midsize SUVs,MY2004,113.0,77.0,149.0,,0.721588868843632
Chevrolet Trailblazer,4WD,midsize SUVs,MY2004,108.0,66.0,150.0,,0.6180565528791109
Chevrolet Blazer,4WD,midsize SUVs,MY2004,119.0,84.0,155.0,,0.8458276480010574
BMW X5,4WD,midsize luxury SUVs,MY2004,19.0,3.0,35.0,,
Lexus RX 330,2WD,midsize SUVs,MY2004,18.0,0.0,37.0,,-1.2455251344822695
Honda Pilot,4WD,midsize SUVs,MY2004,19.0,0.0,38.0,,-1.2248186712893652
Mercury Mountaineer,4WD,midsize SUVs,MY2004,88.0,42.0,133.0,,0.2039272890210264
Chevrolet Suburban,4WD,large SUVs,MY2004,66.0,43.0,89.0,,0.7083186638883086
Chevrolet Suburban,2WD,large SUVs,MY2004,90.0,56.0,124.0,,1.6905205444800966
Chevrolet Avalanche 1500,4WD,large SUVs,MY2004,21.0,0.0,54.0,,-1.1333098622212938
Chevrolet Trailblazer EXT,4WD,large SUVs,MY2004,39.0,0.0,79.0,,-0.39665845177745285
Ford Expedition,2WD,large SUVs,MY2004,49.0,21.0,77.0,,0.012592331802458775
Cadillac Escalade,4WD,large luxury SUVs,MY2004,58.0,23.0,93.0,,
Toyota Sequoia,2WD,large SUVs,MY2004,18.0,0.0,40.0,,-1.2560850972952673
Infiniti QX56,4WD,large SUVs,MY2004,21.0,0.0,54.0,,-1.1333098622212938
Chevrolet Tahoe,4WD,large SUVs,MY2004,51.0,21.0,81.0,,0.0944424885184411
GMC Yukon,4WD,large SUVs,MY2004,92.0,39.0,145.0,,1.7723707011960788
Chevrolet Tahoe,2WD,large SUVs,MY2004,60.0,22.0,97.0,,0.4627681937403616
Ford Expedition,4WD,large SUVs,MY2004,31.0,8.0,54.0,,-0.7240590786413822
GMC Yukon XL,4WD,large SUVs,MY2004,59.0,2.0,116.0,,0.4218431153823704
Toyota Sequoia,4WD,large SUVs,MY2004,36.0,9.0,63.0,,-0.5194336868514263
Ford Excursion,4WD,very large SUVs,MY2004,115.0,50.0,180.0,,
Saab 9-5,NAN,midsize luxury cars,MY2002,46.0,3.0,88.0,,0.5068532453425003
BMW 3 series,NAN,midsize luxury cars,MY2002,34.0,16.0,52.0,,-1.151939193960229
Acura TL,NAN,midsize luxury cars,MY2002,47.0,24.0,69.0,,0.6450859486177277
Lincoln Continental,NAN,large luxury cars,MY2002,46.0,14.0,77.0,,0.27551843011411964
Cadillac DeVille,NAN,large luxury cars,MY2002,26.0,13.0,40.0,,-0.8516024203527341
BMW 5 series,NAN,large luxury cars,MY2002,38.0,12.0,64.0,,-0.1753299100726219
Jaguar S-type,NAN,large luxury cars,MY2002,68.0,14.0,123.0,,1.5153513656276587
Mercedes E class,NAN,large luxury cars,MY2002,10.0,0.0,22.0,,-1.753299100726217
Volvo S80,NAN,large luxury cars,MY2002,45.0,14.0,76.0,,0.21916238759077694
Buick Park Avenue,NAN,large luxury cars,MY2002,60.0,38.0,83.0,,1.0645030254409173
Lincoln LS,NAN,large luxury cars,MY2002,48.0,21.0,75.0,,0.38823051516080503
Cadillac Eldorado,NAN,large luxury cars,MY2002,29.0,3.0,54.0,,-0.682534292782706
Mercedes S class,NAN,very large luxury cars,MY2002,25.0,6.0,44.0,,-0.7071067811865475
Lincoln Town Car,NAN,very large luxury cars,MY2002,62.0,45.0,79.0,,0.7071067811865475
Mazda Miata,NAN,mini sports cars,MY2002,80.0,37.0,122.0,,
BMW Z3 Roadster convertible,NAN,small sports cars,MY2002,58.0,12.0,103.0,,
Chevrolet Camaro,NAN,midsize sports cars,MY2002,186.0,139.0,233.0,,0.598884066986913
Ford Mustang,NAN,midsize sports cars,MY2002,140.0,115.0,165.0,,-0.30435091928843117
Pontiac Firebird,NAN,midsize sports cars,MY2002,205.0,147.0,263.0,,0.9719593874049899
Ford Mustang convertible,NAN,midsize sports cars,MY2002,91.0,60.0,123.0,,-1.2664925351034717
Ford Focus,NAN,small station wagons/minivans,MY2002,62.0,25.0,99.0,,
Subaru Legacy,NAN,midsize station wagons/minivans,MY2002,54.0,28.0,79.0,,
Ford Taurus,NAN,large station wagons/minivans,MY2002,82.0,40.0,124.0,,
Nissan Quest,NAN,very large station wagons/minivans,MY2002,26.0,2.0,51.0,,-0.890210044190172
Chevrolet Astro,2WD,very large station wagons/minivans,MY2002,37.0,14.0,59.0,,-0.292557291517897
Honda Odyssey,NAN,very large station wagons/minivans,MY2002,19.0,8.0,31.0,,-1.270534523163438
Mazda MPV,NAN,very large station wagons/minivans,MY2002,53.0,18.0,87.0,,0.5767558032781395
Ford Windstar,NAN,very large station wagons/minivans,MY2002,41.0,30.0,53.0,,-0.07522901781888788
Chevrolet Venture,2WD,very large station wagons/minivans,MY2002,52.0,8.0,97.0,,0.5224237348533871
Chevrolet Astro,4WD,very large station wagons/minivans,MY2002,66.0,9.0,122.0,,1.283072692799919
Dodge Grand Caravan,2WD,very large station wagons/minivans,MY2002,52.0,24.0,81.0,,0.5224237348533871
Toyota Sienna,NAN,very large station wagons/minivans,MY2002,32.0,17.0,47.0,,-0.5642176336416583
Dodge Caravan,NAN,very large station wagons/minivans,MY2002,83.0,34.0,131.0,,2.206717856020708
Chrysler Town & Country,2WD,very large station wagons/minivans,MY2002,38.0,13.0,62.0,,-0.23822522309314473
GMC Safari,2WD,very large station wagons/minivans,MY2002,31.0,0.0,66.0,,-0.6185497020664107
Mercury Villager,NAN,very large station wagons/minivans,MY2002,21.0,3.0,39.0,,-1.1618703863139335
Mazda B series,2WD,small pickups,MY2002,185.0,95.0,274.0,,1.7200831198112172
Dodge Dakota crew cab,4WD,small pickups,MY2002,77.0,36.0,119.0,,-0.9218409534317603
Chevrolet S10,2WD,small pickups,MY2002,182.0,148.0,216.0,,1.6466963399989123
GMC Sonoma,2WD,small pickups,MY2002,126.0,60.0,191.0,,0.2768097835025536
Toyota Tacoma,2WD,small pickups,MY2002,108.0,67.0,149.0,,-0.16351089537127603
Ford Ranger super cab,4WD,small pickups,MY2002,154.0,127.0,181.0,,0.9617530617507329
Chevrolet S10 ext cab,4WD,small pickups,MY2002,109.0,70.0,148.0,,-0.13904863543384105
Dodge Dakota club cab,2WD,small pickups,MY2002,58.0,36.0,80.0,,-1.386623892243025
Chevrolet S10 ext cab,2WD,small pickups,MY2002,137.0,108.0,165.0,,0.5458946428143383
Toyota Tacoma ext cab,4WD,small pickups,MY2002,83.0,56.0,111.0,,-0.7750673938071505
Ford Ranger super cab,2WD,small pickups,MY2002,110.0,86.0,133.0,,-0.11458637549640607
Nissan Frontier crew cab,2WD,small pickups,MY2002,72.0,30.0,113.0,,-1.0441522531189353
Dodge Dakota crew cab,2WD,small pickups,MY2002,118.0,53.0,183.0,,0.08111170400307374
Dodge Dakota,2WD,small pickups,MY2002,153.0,97.0,209.0,,0.9372908018132979
Toyota Tacoma ext cab,2WD,small pickups,MY2002,81.0,51.0,111.0,,-0.8239919136820204
Nissan Frontier king cab,2WD,small pickups,MY2002,77.0,47.0,108.0,,-0.9218409534317603
GMC Sonoma ext cab,2WD,small pickups,MY2002,154.0,92.0,216.0,,0.9617530617507329
Ford Ranger,2WD,small pickups,MY2002,146.0,120.0,172.0,,0.7660549822512531
Dodge Dakota club cab,4WD,small pickups,MY2002,49.0,25.0,73.0,,-1.6067842316799397
Ford Explorer Sport Trac,2WD,midsize pickups,MY2002,93.0,35.0,151.0,,
Chevrolet Silverado 1500,2WD,large pickups,MY2002,153.0,122.0,185.0,,2.0768408522820554
Ford F-150,4WD,large pickups,MY2002,108.0,65.0,151.0,,0.19007426373510056
Toyota Tundra access cab,2WD,large pickups,MY2002,62.0,31.0,92.0,,-1.738620471224009
Ford F-150 super cab,2WD,large pickups,MY2002,105.0,88.0,123.0,,0.0642898244986369
Ford F-150 crew cab,4WD,large pickups,MY2002,120.0,76.0,163.0,,0.6932120206809552
Chevrolet Silverado 1500,4WD,large pickups,MY2002,125.0,91.0,159.0,,0.9028527527417279
Ford F-150 super cab,4WD,large pickups,MY2002,114.0,92.0,136.0,,0.4416431422080279
GMC Sierra 1500 ext cab,4WD,large pickups,MY2002,71.0,49.0,92.0,,-1.361267153514618
Ford F-150 crew cab,2WD,large pickups,MY2002,111.0,68.0,154.0,,0.3158587029715642
Chevrolet Silverado 1500 ext cab,2WD,large pickups,MY2002,84.0,67.0,102.0,,-0.8162012501566087
Chevrolet Silverado 1500 ext cab,4WD,large pickups,MY2002,90.0,75.0,105.0,,-0.5646323716836814
Ford F-150,2WD,large pickups,MY2002,131.0,106.0,156.0,,1.1544216312146554
GMC Sierra 1500 ext cab,2WD,large pickups,MY2002,98.0,66.0,131.0,,-0.229207200386445
GMC Sierra 1500,2WD,large pickups,MY2002,97.0,58.0,137.0,,-0.2711353467985995
Toyota Tundra access cab,4WD,large pickups,MY2002,83.0,42.0,124.0,,-0.8581293965687633
Dodge Ram 2500 club cab,2WD,very large pickups,MY2002,96.0,52.0,140.0,,0.5475332060951924
Ford F-250,4WD,very large pickups,MY2002,114.0,70.0,158.0,,1.2290373030434636
Chevrolet Silverado 2500,4WD,very large pickups,MY2002,66.0,26.0,106.0,,-0.5883069554852596
Ford F-350 crew cab,2WD,very large pickups,MY2002,58.0,21.0,94.0,,-0.8911976652400467
Chevrolet Silverado 2500 ext cab,4WD,very large pickups,MY2002,82.0,54.0,110.0,,0.017474464024314854
Ford F-250 crew cab,2WD,very large pickups,MY2002,40.0,10.0,71.0,,-1.572701762188318
Ford F-250 super cab,2WD,very large pickups,MY2002,58.0,35.0,81.0,,-0.8911976652400467
Ford F-250,2WD,very large pickups,MY2002,45.0,18.0,72.0,,-1.383395068591576
Ford F-250 crew cab,4WD,very large pickups,MY2002,80.0,50.0,111.0,,-0.058248213414381945
Dodge Ram 2500 club cab,4WD,very large pickups,MY2002,119.0,88.0,150.0,,1.4183439966402056
Ford F-350 crew cab,4WD,very large pickups,MY2002,112.0,80.0,143.0,,1.1533146256047668
Ford F-250 super cab,4WD,very large pickups,MY2002,96.0,73.0,119.0,,0.5475332060951924
Ford F-350 super cab,4WD,very large pickups,MY2002,94.0,49.0,140.0,,0.47181052865649564
Ford Escape,2WD,small SUVs,MY2002,86.0,28.0,143.0,,-0.5496912761425025
Jeep Wrangler,4WD,small SUVs,MY2002,99.0,71.0,127.0,,-0.32243375208358804
Chevrolet Tracker 4dr,4WD,small SUVs,MY2002,183.0,109.0,258.0,,1.14599948029709
Kia Sportage 4dr,4WD,small SUVs,MY2002,162.0,91.0,233.0,,0.7788911722019206
Ford Escape,4WD,small SUVs,MY2002,115.0,58.0,173.0,,-0.04273218401107791
Toyota RAV4,4WD,small SUVs,MY2002,18.0,0.0,39.0,,-1.7384229404506706
Kia Sportage 4dr,2WD,small SUVs,MY2002,197.0,106.0,287.0,,1.3907383523605366
Subaru Forester,4WD,small SUVs,MY2002,70.0,35.0,105.0,,-0.8293928442150126
Suzuki Grand Vitara,4WD,small SUVs,MY2002,127.0,56.0,197.0,,0.1670439920433047
Dodge Durango,4WD,large SUVs,MY2002,49.0,34.0,65.0,,-0.6899703982931479
Mitsubishi Montero Sport,4WD,midsize SUVs,MY2002,89.0,36.0,143.0,,-0.07992172960065103
BMW X5,4WD,midsize luxury SUVs,MY2002,33.0,0.0,74.0,,-0.7071067811865476
Toyota 4Runner,4WD,midsize SUVs,MY2002,12.0,0.0,29.0,,-1.2818696161729408
Chevrolet Blazer 4dr,2WD,midsize SUVs,MY2002,190.0,127.0,254.0,,1.49665926447469
Mitsubishi Montero Sport,2WD,midsize SUVs,MY2002,121.0,69.0,173.0,,0.4195890804034174
Chevrolet Blazer 2dr,4WD,midsize SUVs,MY2002,98.0,53.0,142.0,,0.06056568571299323
Ford Explorer 4dr,4WD,midsize SUVs,MY2002,56.0,19.0,93.0,,-0.5950422524173467
Jeep Grand Cherokee,2WD,midsize SUVs,MY2002,89.0,57.0,121.0,,-0.07992172960065103
Isuzu Trooper,4WD,midsize SUVs,MY2002,47.0,16.0,78.0,,-0.7355296677309908
Isuzu Rodeo,2WD,midsize SUVs,MY2002,132.0,84.0,180.0,,0.5912959213423159
Acura MDX,4WD,midsize luxury SUVs,MY2002,36.0,7.0,65.0,,0.7071067811865476
GMC Jimmy,4WD,midsize SUVs,MY2002,95.0,56.0,134.0,,0.013736547275111812
Ford Explorer 2dr,2WD,midsize SUVs,MY2002,187.0,136.0,239.0,,1.4498301260368085
Chevrolet Trailblazer,4WD,midsize SUVs,MY2002,86.0,20.0,152.0,,-0.12675086803853244
Lexus RX 300,4WD,midsize SUVs,MY2002,17.0,0.0,36.0,,-1.203821052109805
Nissan Xterra,4WD,midsize SUVs,MY2002,48.0,16.0,79.0,,-0.7199199549183637
Nissan Pathfinder,2WD,midsize SUVs,MY2002,40.0,8.0,72.0,,-0.8447976574193808
Ford Exporer 4dr,2WD,midsize SUVs,MY2002,57.0,8.0,106.0,,-0.5794325396047195
Chevrolet Blazer 4dr,4WD,midsize SUVs,MY2002,101.0,77.0,125.0,,0.10739482415087465
Dodge Durango,2WD,large SUVs,MY2002,42.0,18.0,66.0,,-1.1778282556721416
Isuzu Rodeo,4WD,midsize SUVs,MY2002,60.0,17.0,103.0,,-0.532603401166838
Jeep Grand Cherokee,4WD,midsize SUVs,MY2002,55.0,42.0,68.0,,-0.6106519652299738
Nissan Pathfinder,4WD,midsize SUVs,MY2002,25.0,11.0,39.0,,-1.078943349608788
Chevrolet Blazer 2dr,2WD,midsize SUVs,MY2002,308.0,190.0,426.0,,3.3386053763646926
Nissan Xterra,2WD,midsize SUVs,MY2002,101.0,50.0,152.0,,0.10739482415087465
Jeep Liberty,4WD,midsize SUVs,MY2002,86.0,27.0,145.0,,-0.12675086803853244
Ford Explorer 2dr,4WD,midsize SUVs,MY2002,134.0,87.0,181.0,,0.6225153469675703
Land Rover Discovery Series II,4WD,midsize SUVs,MY2002,119.0,53.0,184.0,,0.38836965477816315
Chevrolet Suburban 1/2 ton,4WD,large SUVs,MY2002,47.0,22.0,73.0,,-0.829358357544289
GMC Yukon,4WD,large SUVs,MY2002,52.0,8.0,96.0,,-0.4808884594164364
Chevrolet Suburban 1/2 ton,2WD,large SUVs,MY2002,73.0,26.0,120.0,,0.9826851127205443
GMC Yukon XL,4WD,large SUVs,MY2002,51.0,10.0,91.0,,-0.5505824390420069
Chevrolet Tahoe,4WD,large SUVs,MY2002,75.0,43.0,106.0,,1.1220730719716854
Ford Expedition,4WD,large SUVs,MY2002,50.0,33.0,67.0,,-0.6202764186675774
Ford Expedition,2WD,large SUVs,MY2002,66.0,46.0,86.0,,0.4948272553415507
Chevrolet Tahoe,2WD,large SUVs,MY2002,84.0,45.0,123.0,,1.7493188886018198
Ford Excursion,4WD,very large SUVs,MY2002,107.0,41.0,173.0,,
Chevrolet Blazer,2WD,midsize SUVs,MY2004,232.0,146.0,318.0,,3.185657988799235
